stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\HENRY\source\repos\Conta-Strike\x64\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.15863] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.15876] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15894] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.15902] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15917] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.15929] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15941] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.15951] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15964] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.15977] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15986] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.15998] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16010] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.16018] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16030] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16039] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16049] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16059] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16068] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.16077] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16090] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.16102] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16112] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.16125] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16134] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16144] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16156] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16165] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16179] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.16187] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16195] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.16205] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16215] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.16230] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16240] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16249] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16259] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16287] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16299] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.16311] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16321] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.16331] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16343] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.16353] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16378] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16392] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16402] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16415] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16425] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.16434] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16446] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.16456] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16472] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.16481] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16497] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16517] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16578] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16637] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16668] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.16682] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16695] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.16705] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16716] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.16726] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16743] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16759] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16770] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.16780] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16789] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.16800] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16812] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.16820] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16830] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.16840] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16851] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16864] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16875] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16887] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16898] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16915] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16926] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16938] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16950] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16960] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16971] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16985] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16996] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17007] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17017] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17028] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17038] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17054] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17063] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17073] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17084] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17094] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17110] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17120] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17131] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17140] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17149] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17161] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17171] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17184] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17205] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17297] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17349] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17386] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17419] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17431] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17444] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17456] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17468] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17478] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17489] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17497] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17508] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17522] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17531] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17540] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17550] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17558] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17566] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17575] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17585] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17596] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17606] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17615] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17627] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17636] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17644] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17652] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17665] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17676] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17687] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17696] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17705] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17738] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17749] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17758] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17768] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17777] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17785] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17797] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17805] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17814] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17831] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17839] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17847] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17853] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17861] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17870] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17877] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17884] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17891] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17899] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17907] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17914] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17923] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.17933] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17941] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.17949] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17960] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.17968] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17978] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17987] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18001] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18009] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18018] Score is : 598
